document_id,chunk_id,page_number,source_file,chunk_start_char,chunk_end_char,chunking_strategy,created_at,text
c01862dcf8b8,c01862dcf8b8_p007_c001_6e1f0c99f9cb4570,7,The Content of RealSoft (1).pdf,0,1122,recursive,2026-02-08T13:12:03.627391+00:00,"labor market in the region and the world to provide the required high-caliber
workforce.
RealSoft helps partners to find highly qualified candidates and grow their
businesses to achieve their goals. RealSoft provides talents in the field of
information technology from Jordan, Egypt, Pakistan, and other countries to meet
the needs of its partners and suit their budgets.
Our Mission
Our mission is to deliver state-of-the-art software solutions to our clients through
enabling technologies and understanding their businesses to better serve them.
Our Vision
Our vision is to be a regional leader in enterprise-wide state-of-the-art software
solutions with a commitment to customer satisfaction.
Our Values
1 - We foster trust
We foster trust through our growing network of customers, partners, and suppliers.
Trust starts with open communication: we are trusted because we do what we say.
We keep our promises and build relationships through transparency and honesty.
Trust is key to our success and gives us the confidence to work together to solve
challenges with integrity and resourcefulness.
2 - We commit to deliver"
c01862dcf8b8,c01862dcf8b8_p007_c002_dc0e2029788daf16,7,The Content of RealSoft (1).pdf,972,1557,recursive,2026-02-08T13:12:03.627391+00:00,"st is key to our success and gives us the confidence to work together to solve
challenges with integrity and resourcefulness.
2 - We commit to deliver
We work with our partners, customers, and suppliers to understand what is needed
and get results. We set goals that allow us to meet our customers’ high
expectations reliably. We are proud of our accomplishments and use
communication and teamwork to deliver the quality that defines our reputation
consistently. We are united in our global drive to succeed, to own, and most
importantly, to celebrate achievement when the job is done."
c01862dcf8b8,c01862dcf8b8_p008_c001_4023955e4915ae02,8,The Content of RealSoft (1).pdf,0,1132,recursive,2026-02-08T13:12:03.627391+00:00,"3 - We are ready for tomorrow
Our evolving world is a prospect for a better world. We are doing our best today as
we invest in the future through our passion for learning and continued curiosity.
Looking to the future, we welcome change as a catalyst for innovation and the
search for new and more endurable solutions and working methods. More than
ever on our planet, preparing for the future means taking the initiative, improving
daily, anticipating change, and proactively evolving.
4 - We do it right
We foster trust through our growing network of customers, partners, and suppliers.
Trust starts with open communication: we are trusted because we do what we say.
We keep our promises and build relationships through transparency and honesty.
Trust is key to our success and gives us the confidence to work together to solve
challenges with integrity and resourcefulness.
The company’s business is spread throughout the region through its branches in
Jordan, Oman, and UAE, and through business partners in Kuwait, KSA, Qatar,
Bahrain, & Egypt.
We offer our customers end-to-end software solutions delivering low Total-Cost-of-"
c01862dcf8b8,c01862dcf8b8_p008_c002_dfa9b5cdbcddbcb0,8,The Content of RealSoft (1).pdf,983,1452,recursive,2026-02-08T13:12:03.627391+00:00,"through business partners in Kuwait, KSA, Qatar,
Bahrain, & Egypt.
We offer our customers end-to-end software solutions delivering low Total-Cost-of-
Ownership and high ease of use. RealSoft specializes in solutions and
technologies for
- Data Management
- Statistical solutions
- E-Government
Our work is also expanded through handling:
- Infrastructure solutions.
- Consultancy & project management services.
- Training.
- Business intelligence.
- System integration."
c01862dcf8b8,c01862dcf8b8_p009_c001_1ce5950cd3095f34,9,The Content of RealSoft (1).pdf,1,1177,recursive,2026-02-08T13:12:03.627391+00:00,"Company-Why RealSoft?
Page Link: https://www.realsoft-me.com/why-realsoft/
Content:
RealSoft has distinguished itself during more than twenty years of work on its ability
to implement mission-critical projects with complete success, such as
comprehensive population census, parliamentary and municipal elections, and e-
governance projects. All this has been accomplished by focusing on the user’s
specific needs, and providing the best competencies in the field of design,
structuring, programming, and quality control.
The relationships that we establish with our customers are supported by regular
personal contact. Through our account management activities, we maintain an
understanding of our customers’ businesses and provide continuity between
individual tasks.
RealSoft is committed to keeping pace with technological developments and
updates in methodologies and practices to provide the best services to its
customers to develop their business and continuously improve their products and
services.
RealSoft has enabled its clients to harness:
- Mobile technologies.
- Smartphone applications.
- Data governance.
- Analysis and low code technologies.
Company-Partners"
c01862dcf8b8,c01862dcf8b8_p009_c002_d0b99cc21f48c8f3,9,The Content of RealSoft (1).pdf,1027,1226,recursive,2026-02-08T13:12:03.627391+00:00,"ed its clients to harness:
- Mobile technologies.
- Smartphone applications.
- Data governance.
- Analysis and low code technologies.
Company-Partners
Page Link: https://www.realsoft-me.com/partners/"
c01862dcf8b8,c01862dcf8b8_p010_c001_d1a8e3753364bf01,10,The Content of RealSoft (1).pdf,0,1178,recursive,2026-02-08T13:12:03.627391+00:00,"Content:
Technology Partners:
 Microsoft:
Microsoft is a leading global vendor of computer software; hardware for computer,
mobile and gaming systems; and cloud services. Microsoft mission is to empower
every person and every organization on the planet to achieve more.
With Microsoft Learn, whether you’re just starting or an experienced professional,
Microsoft hands-on approach helps you arrive at your goals faster, with more
confidence and at your own pace.
--
 Oracle:
Oracle is one of the largest vendors in the enterprise IT market and the shorthand
name of its flagship product, a relational database management system (RDBMS)
that’s formally called Oracle Database. The database software sits at the center of
many corporate IT environments, supporting a mix of transaction processing,
business intelligence and analytics applications.
 Esri:
Esri is the global market leader in geographic information system (GIS) software,
location intelligence, and mapping. Since 1969, we have supported customers with
geographic science and geospatial analytics, what we call The Science of Where.
We take a geographic approach to problem-solving, brought to life by modern GIS"
c01862dcf8b8,c01862dcf8b8_p010_c002_d757caa606a613a8,10,The Content of RealSoft (1).pdf,1028,1687,recursive,2026-02-08T13:12:03.627391+00:00,"c science and geospatial analytics, what we call The Science of Where.
We take a geographic approach to problem-solving, brought to life by modern GIS
technology. We are committed to using science and technology to build a sustainable
world.
 Mendix:
Mendix is the fastest & easiest low-code platform used by businesses to develop
mobile
&
web
apps
at
scale.
Mendix is a high productivity app platform that enables you to build and continuously
improve mobile and web applications at scale. The Mendix Platform is designed to
accelerate enterprise app delivery across your entire application development
lifecycle, from ideation to deployment and operations."
c01862dcf8b8,c01862dcf8b8_p011_c001_777449ea6f011991,11,The Content of RealSoft (1).pdf,0,1156,recursive,2026-02-08T13:12:03.627391+00:00," Denodo:
Dendoo is a leading data virtualization platform. Its comprehensive capabilities
empower organizations to integrate, analyze, and deliver data in real-time. With a
user-friendly interface, Dendoo enables seamless data access and integration from
various sources, fostering a unified view of information.
 Informatica:
Informatica is a leading provider of data management solutions, renowned for its
innovative approach to data integration, quality, and governance. With a
comprehensive suite of tools, Informatica helps organizations manage their data
lifecycle efficiently, enabling them to make informed decisions and drive business
success. Their expertise not only enhances data accessibility but also ensures
compliance and data accuracy across various platforms and applications.
Regional Partners:
 SBM:
Saudi Business Machines Ltd. (SBM) is the General Marketing and Services
Representative of IBM World Trade Corporation in Saudi Arabia – the Kingdom’s
leading
provider
of
end-to-end
enterprise
information
technology
and
telecommunications solutions.
 ePnet:
Electronic Performance Networks ePNet, which is specialized in information"
c01862dcf8b8,c01862dcf8b8_p011_c002_f736f8191565523e,11,The Content of RealSoft (1).pdf,1006,1702,recursive,2026-02-08T13:12:03.627391+00:00,"nterprise
information
technology
and
telecommunications solutions.
 ePnet:
Electronic Performance Networks ePNet, which is specialized in information
technology services has been in the Kingdom of Saudi Arabia for more than twenty
years, which is a pioneer in the field of digital transformation.
 Aldar:
Al Dar Systems can provide and has experience in a complete range of software
services covering specialized application development, maintenance, conversion,
re-engineering, downsizing, testing services, ERP Life Cycle services, Customer
Relationship Management (CRM), Strategic Enterprise Management (SEM), Open
Systems, embedded systems, E-Commerce, Internet and Intranet based services."
c01862dcf8b8,c01862dcf8b8_p012_c001_49be1202cd7d257d,12,The Content of RealSoft (1).pdf,0,1182,recursive,2026-02-08T13:12:03.627391+00:00," MobiSoft:
MobiSoft was established in 2010 as a spin-off company from RealSoft Advanced
Applications, and has continuously grown its client base of prestigious public and
private entities spanning the MENA region by introducing cutting edge mobile
technologies into new business areas.
 Palco:
Is a leading Jordanian authorized Oracle Partner that offers a comprehensive full-
service portfolio from consulting, infrastructure services, and database and
application management to training in a broad range of industries across Jordan and
the wider MENA region.
 UARABS:
The Union of Arab Statisticians is one of the qualitative Arab federations under the
umbrella of the Council of Arab Economic Unity of the League of Arab States.
The Union cares of global and Arab statistical developments and to benefit from the
exchange of experiences that can serve the economic, educational, social, and
demographic process of the Arab world.
 Int@j:
Int@j is an organization that supports the ICT and IT Enabled Services industry in
Jordan to maximize its contribution to the national economy. It provides its
members with the necessary resources for growth and expansion. Additionally,"
c01862dcf8b8,c01862dcf8b8_p012_c002_fea78ac5ee9c12ce,12,The Content of RealSoft (1).pdf,1032,1372,recursive,2026-02-08T13:12:03.627391+00:00,"dan to maximize its contribution to the national economy. It provides its
members with the necessary resources for growth and expansion. Additionally,
Int@j offers networking opportunities and support to its members.
Company-Awards
Page Link: https://www.realsoft-me.com/awards/
Content:
 Scientific Day – Yarmouk University - June 2, 2022"
c01862dcf8b8,c01862dcf8b8_p013_c001_7a07eba52af0fa86,13,The Content of RealSoft (1).pdf,0,1121,recursive,2026-02-08T13:12:03.627391+00:00,"RealSoft participates in the scientific and career day held by the College of
Information Technology and Computer Science at Yarmouk University. The activities
of the scientific day were sponsored by the President of Yarmouk University, Dr. Islam
Massad, and included seminars, specialized lectures, and an employment fair in
which many private sector companies participated.
 7TH INTERNATIONAL SCIENTIFIC CONFERENCE OF THE UNION OF
ARAB STATISTICIANS - March 8, 2023
The General Secretariat of the Union of Arab Statisticians launched the Seventh
International Scientific Conference of the Union of Arab Statisticians, where they
honored RealSoft as a board member of the union for their continuous support of
the union’s activities. The award was presented by M.J. Khairat Barakat, on behalf
of His Excellency, the PM Dr. Mustafa Madbouly.
The conference was held in Cairo – Egypt, under the patronage of Dr. Mostafa
Madbouly, Prime Minister of Egypt.
 8TH INTERNATIONAL CONFERENCE OF THE UNION OF ARAB
STATISTICIANS - April 16, 2025
During the 8th International Conference of the Union of Arab Statisticians, Erbil –"
c01862dcf8b8,c01862dcf8b8_p013_c002_835a2cb93f2ee3f4,13,The Content of RealSoft (1).pdf,971,1809,recursive,2026-02-08T13:12:03.627391+00:00,"NAL CONFERENCE OF THE UNION OF ARAB
STATISTICIANS - April 16, 2025
During the 8th International Conference of the Union of Arab Statisticians, Erbil –
Iraq, RealSoft was honored for its strategic role as a board member and its continued
contribution to advancing statistical innovation across the Arab region. The General
Secretariat of the Union presented the award in recognition of RealSoft’s leadership
in leveraging AI to support data-driven policy-making and sustainable development
efforts, and its pivotal role in providing core system components for the Iraq Census
2024.
 6th International Scientific Conference of the Union of Arab Statisticians
- July 10, 2018
The General Secretariat of the Union of Arab Statisticians launches the Sixth
International Scientific Conference of the Union of Arab Statisticians, which was held"
c01862dcf8b8,c01862dcf8b8_p014_c001_c10ccff945f3e2ab,14,The Content of RealSoft (1).pdf,0,1162,recursive,2026-02-08T13:12:03.627391+00:00,"in Amman – the Hashemite Kingdom of Jordan under the patronage of His
Excellency the Minister of Planning and International Cooperation.
 6th International Scientific Conference of the Union of Arab Statisticians
- July 10, 2018
The General Secretariat of the Union of Arab Statisticians launched the Sixth
International Scientific Conference of the Union of Arab Statisticians, where they
honored RealSoft with a medal for their continuous support of the union’s activities.
The conference was held in Amman – the Hashemite Kingdom of Jordan, under the
patronage of His Excellency, the Minister of Planning and International Cooperation.
 Dubai Statistical Center SDMX Training - March 4, 2020
A
cooperation
between
Dubai
Statistics
Center
and
RealSoft.
Proceeding from the importance of exchanging statistical data and Metadata
eXchange (SDMX) in statistics, a training workshop was held for Dubai Statistics
Center employees on SDMX-Fusion software.
 Jordanian Census 2015 - February 24, 2016
The Jordanian Prime Minister, Dr. Abdullah Al-Nsour honors RealSoft as the provider
of the technical solution for the 2015 Jordanian General Population and Housing"
c01862dcf8b8,c01862dcf8b8_p014_c002_5261aa0e76945c45,14,The Content of RealSoft (1).pdf,1013,1727,recursive,2026-02-08T13:12:03.627391+00:00,"Prime Minister, Dr. Abdullah Al-Nsour honors RealSoft as the provider
of the technical solution for the 2015 Jordanian General Population and Housing
Census, during the conference on the launch of the final results of the census, which
was held in the Jordanian capital, Amman.
 1st Gulf Statistical Forum 2017 - March 22, 2017
Under the slogan “Strengthening Statistical Partnerships to Support Economic
Policies and Sustainable Development in the GCC Countries,” GASTAT in Saudi
Arabia and GCC Statistical Center organized the first GCC Statistical Forum in March
2017 in Riyadh, where the forum management honored the efforts of RealSoft for its
active participation in the development of the statistical work."
c01862dcf8b8,c01862dcf8b8_p015_c001_64af42a8dec39fb8,15,The Content of RealSoft (1).pdf,0,1139,recursive,2026-02-08T13:12:03.627391+00:00," Ajman Census 2017 - May 30, 2017
Sheikh Rashid bin Humaid Al Nuaimi, Chairman of the Municipality and Planning
Department in Ajman and Chairman of the Higher Census Committee honors
RealSoft as one of the success partners in the 2017 population census project in the
Emirate of Ajman.
 National Technological Festival - April 29, 2015
The Higher Steering Committee of the Eighth National Technological Festival of the
Jordanian University in Amman presented a special shield to thank RealSoft for
supporting the festival’s activities.
 5th International Scientific Conference of the Union of Arab Statisticians
- February 11, 2016
The General Secretariat of the Union of Arab Statisticians launched the Fifth
International Scientific Conference of the Union of Arab Statisticians, where they
honored RealSoft for their continuous support of the union’s activities. The
conference was held in Cairo – Egypt, under the patronage of Dr. Ashraf El-Araby,
Minister of Planning in Egypt.
 The Public Authority for Civil Information- Kuwait - May 28, 2016
With technical solutions from RealSoft, The Public Authority for Civil Information in"
c01862dcf8b8,c01862dcf8b8_p015_c002_8d670b9fabfee1d6,15,The Content of RealSoft (1).pdf,989,1603,recursive,2026-02-08T13:12:03.627391+00:00,"he Public Authority for Civil Information- Kuwait - May 28, 2016
With technical solutions from RealSoft, The Public Authority for Civil Information in
Kuwait won the first place in the Kuwait Prize for Electronic Content, which is a great
achievement that reflects the authority’s keenness to develop its mechanisms to
provide the best services to individuals and bodies.
 Arab Statisticians Union - December 15, 2011
The Union of Arab Statisticians presents the Shield of Excellence to RealSoft in
appreciation of the distinguished efforts made by the company during the Union’s
march for the years 2007 to 2011."
c01862dcf8b8,c01862dcf8b8_p016_c001_102ec7c006d02151,16,The Content of RealSoft (1).pdf,1,1173,recursive,2026-02-08T13:12:03.627391+00:00," Qatar Census 2010 - December 19, 2011
Mr. Mohamed Al-Marzouqi, Director of the Shared Services Department at the
Statistics Authority in Qatar, grants RealSoft a certificate of good implementation of
the various systems necessary to implement the 2010 Qatar Census.
 Best e-Project Award – Bahrain - May 15, 2013
With technical solutions from RealSoft, The Ministry of Labour and Social
Development in Bahrain won the Excellence Award for the best electronic project on
“NGOs system” during the Bahrain International Electronic Government Forum 2013.
 Jordanian Telecom Fund - January 16, 2005
RealSoft won the first place in the innovation competition in the field of ICT
development.
 Arab Forum for Information Systems - December 19, 2010
The Arab Forum for Information Systems of the Arab Towns Organization in Amman
presented a shield of thanks to RealSoft for its efforts to raise the level of the
information systems sector in Jordan.
Company-Our Team
Page Link: https://www.realsoft-me.com/our-team/
Content:
At RealSoft, we take pride in our employees who have made impressive
achievements during the company’s journey since its establishment. The efforts of"
c01862dcf8b8,c01862dcf8b8_p016_c002_69448ad844a33f5d,16,The Content of RealSoft (1).pdf,1023,1310,recursive,2026-02-08T13:12:03.627391+00:00,"At RealSoft, we take pride in our employees who have made impressive
achievements during the company’s journey since its establishment. The efforts of
Real Soft employees have resulted in the development of high-quality products
according to the best relevant technologies and practices."
c01862dcf8b8,c01862dcf8b8_p017_c001_8510fd9183add2e1,17,The Content of RealSoft (1).pdf,0,703,recursive,2026-02-08T13:12:03.627391+00:00,"At RealSoft, we follow a strict recruitment process to ensure a hard-working, 
dedicated, and committed team to achieve the greatest customer satisfaction. 
Everyone at RealSoft has a voice and opinion and all departments work closely 
together in complete unity, all driving towards the same goals. 
 
 
 
 
 
Board of Directors 
Company-Our Team-Ammar Sajdi 
Page Link: https://www.realsoft-me.com/Our%20Team/ammar-
sajdi/ 
Content: 
 
President 
 Oracle core products specialist 
 Wealth of experience in software development solutions 
 Web Solutions Architect 
 Embedded Systems 
 Conducted many Oracle training courses 
 
Company-Our Team-Jaffar Mansour 
Page Link: https://www.realsoft-me.com/Our%20Team/jaffar-
mansour/"
c01862dcf8b8,c01862dcf8b8_p018_c001_ce7850d115cfddab,18,The Content of RealSoft (1).pdf,0,458,recursive,2026-02-08T13:12:03.627391+00:00,"Content: 
CEO 
 Strategic Plannig 
 Employee Development 
 Planning and Delivery 
 Product Management 
 Data Modeling and database Design 
 Solution Archticture 
 Project Management 
 Change Management 
 
Company-Our Team-Mohammad Mansour 
Page Link: https://www.realsoft-
me.com/Our%20Team/mohammad-mansour/ 
Content: 
 
Partner - UAE Branch Manager 
 Project Management 
 Statistical Solution 
 BI & Datawarehousing 
 Oracle Database 
 
Company-Our Team-Mahmoud Mutawe"
c01862dcf8b8,c01862dcf8b8_p019_c001_576fd7463f805c99,19,The Content of RealSoft (1).pdf,0,1029,recursive,2026-02-08T13:12:03.627391+00:00,"Page Link: https://www.realsoft-me.com/Our%20Team/mahmoud-
mutawe/ 
Content: 
Partner - CTO 
 Developing Technology strategies, policies and procedures 
 IT Consultation and Enterprise Architecture 
 Business Intelligence and Decision Support Systems 
 Data Management and Governance 
 Projects & Products Management 
 Requirements Analysis & Systems Modelling 
 Process re-engineering & Optimization 
 Managing Technical and Non-functional requirements 
 Vast practical experience in e.g. statistics , e-Services/e-Government solutions 
 Data conversion, interfacing, integration and migration 
 
Company-Our Team-Ahmad Mansour 
Page Link: https://www.realsoft-me.com/Our%20Team/ahmad-
mansour/ 
Content: 
Partner - Business Dev. & Strategy 
 Strong background in professional service and consulting servicing clients 
across Public Sector and Technology industries 
 Depth of experience across multiple areas of business and technology 
 Sales management, Business planning and marketing management 
 Data Strategies and Data Management"
c01862dcf8b8,c01862dcf8b8_p020_c001_1e82487fb86f6f80,20,The Content of RealSoft (1).pdf,0,681,recursive,2026-02-08T13:12:03.627391+00:00," Account Management/ Account planning 
 Project & Program Management 
 Digital Transformation 
 Statistical Strategies and Statistical Systems Modernization 
 Communication Skills, negotiation skills 
 Mobile and wireless development lifecycle 
Advisory Panel 
Company-Our Team-Husam Khalidi 
Page Link: https://www.realsoft-me.com/Our%20Team/husam-al-
khaledi/ 
Content: 
Business Analyst Team Lead 
 Project Management 
 Requirement Analysis 
 Data Analysis 
 Change Management 
 Software Development 
 Product Development 
 Object Oriented Programming (VB, C#) 
 Domain-Driven Design (DDD) 
 Presentation and Negotiation Skills 
 Integration 
 Business Process Re-engineering 
 ITIL"
c01862dcf8b8,c01862dcf8b8_p021_c001_5d65c9733708edd0,21,The Content of RealSoft (1).pdf,0,580,recursive,2026-02-08T13:12:03.627391+00:00," Supply Chain Management 
 Microservices 
 
 
 
Company-Our Team-Ahmad Mowafi 
Page Link: https://www.realsoft-me.com/Our%20Team/ahmad-
mowafi/ 
Content: 
Statistical Consultant 
 SPSS and Statistical Analysis 
 Questionnaires Design 
 Statistical Methodologies and Standard Classifications 
 Surveys and Censuses expert 
 SDMX: Statistical Data and Metadata Exchange 
 Labor market indicator expert 
 Data Management 
 Convert data into Analytical Report to be more meaningful, readable, and 
actionable 
 Helping Decision makers 
 Dashboarding design expert 
 
Company-Our Team-Ayman Toubasi"
c01862dcf8b8,c01862dcf8b8_p022_c001_513cb0294c915b88,22,The Content of RealSoft (1).pdf,0,646,recursive,2026-02-08T13:12:03.627391+00:00,"Page Link: https://www.realsoft-me.com/Our%20Team/ayman-
toubasi/ 
Content: 
Technical Products Manager 
 Projects & Products Management 
 Technology Specialist 
 Professional scrum master certified (PSM) 
 R&D Supervision 
 Solutions Architect 
 Requirements Analysis & Systems Modelling 
 Managing Technical and Non-functional requirements 
 Mobile & GIS technology specialist 
 
Company-Our Team-Amal Awad 
Page Link: https://www.realsoft-me.com/Our%20Team/amal-
awad/ 
Content: 
Project Manager 
 Project Management – Certified (PMP, ACP) 
 Team Leadership 
 Business Analysis 
 Database Design 
 Oracle Database (SQL/ PLSQL) 
 Oracle ADF Development"
